DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1960-0012-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Karen,PHL,Philippines,South-eastern Asia,Asia,South Wet of Manilla,,,No,No,No,,,Kph,,,,1960,4,22,1960,4,22,56,,,,,,,,,2000,20605,9.706215691,,2003-07-01,2023-09-25
1960-0015-PHL,Yes,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,PHL,Philippines,South-eastern Asia,Asia,Nationwide,,,No,No,No,,,Moment Magnitude,,,,1960,5,22,1960,5,22,32,,,,,,,,,,,9.706215691,,2003-07-01,2023-09-25
1960-0016-JPN,Yes,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,JPN,Japan,Eastern Asia,Asia,"Onagawa, Honshu Island",,Tsunami/Tidal wave,No,No,No,,,Moment Magnitude,,,,1960,5,22,1960,5,22,138,,,,,,,,,140000,1442375,9.706215691,,2011-04-27,2023-09-25
1960-0019-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Lucille,PHL,Philippines,South-eastern Asia,Asia,Luzon,,,No,No,No,,,Kph,,,,1960,5,24,1960,5,24,234,,,,,,,,,,,9.706215691,,2003-07-01,2023-09-25
1960-0020-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Olive,PHL,Philippines,South-eastern Asia,Asia,South Luzon,,,No,No,No,,,Kph,,,,1960,6,23,1960,6,23,100,,50000,,50000,,,,,,,9.706215691,,2003-07-01,2023-09-25
1960-0028-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Kit,PHL,Philippines,South-eastern Asia,Asia,"Central, South Luzon",,,No,No,No,,,Kph,,,,1960,10,3,1960,10,3,150,,375000,,375000,,,,,,,9.706215691,,2003-07-01,2023-09-25
1960-0029-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Lola,PHL,Philippines,South-eastern Asia,Asia,Luzon,,,No,No,No,,,Kph,,,,1960,10,8,1960,10,8,58,,,,,,,,,30000,309080,9.706215691,,2003-07-01,2023-09-25
1960-0047-PHL,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,PHL,Philippines,South-eastern Asia,Asia,,,,No,No,No,,,,,,,1960,1,,1960,1,,40,,,,,,,,,,,9.706215691,,2003-07-01,2023-09-25
1960-0053-PHL,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,PHL,Philippines,South-eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1960,8,,1960,8,,33,,,,,,,,,,,9.706215691,,2003-07-01,2023-09-25
1960-0055-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1960,8,,1960,8,,41,,,,,,,,,,,9.706215691,,2003-07-01,2023-09-25
1960-0057-PRI,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,PRI,Puerto Rico,Latin America and the Caribbean,Americas,,,,No,No,No,,,Kph,,,,1960,9,,1960,9,,,,,,,,,,,,,9.706215691,,2003-07-01,2023-09-25
1961-0006-JPN,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,JPN,Japan,Eastern Asia,Asia,Entire Nation except Hokkaido,,,No,No,No,,,Km2,,,,1961,6,,1961,6,,357,,1302249,,1302249,,,,,,,9.810138546,,2003-07-01,2023-09-25
1961-0011-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,Honshu + other Isles,,,No,No,No,,,Kph,,,,1961,9,16,1961,9,16,202,,,,,,,,,,,9.810138546,,2003-07-01,2023-09-25
1961-0018-PHL,Yes,tec-ind-fir-fir,Technological,Industrial accident,Fire (Industrial),Fire (Industrial),,Commercial block,PHL,Philippines,South-eastern Asia,Asia,"Binondo, Manila",,,No,No,No,,,m3,,,,1961,5,19,1961,5,19,15,,,,,,,,,49505,504631,9.810138546,,2003-07-01,2023-09-25
1961-0051-JPN,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1961,10,,1961,10,,94,,,,,,,,,,,9.810138546,,2003-07-01,2023-09-25
1961-0061-JPN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,JPN,Japan,Eastern Asia,Asia,Honshu,,,No,No,No,,6.8,Moment Magnitude,36,136.7,,1961,8,19,1961,8,19,10,,,,,,,,,,,9.810138546,,2020-02-14,2023-09-25
1962-0016-JPN,Yes,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,JPN,Japan,Eastern Asia,Asia,Near Tokyo,,,No,No,No,,,,,,,1962,5,3,1962,5,3,163,400,,,400,,,,,,,9.927744057,,2003-07-01,2023-09-25
