DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1963-0020-DMA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Edith,DMA,Dominica,Latin America and the Caribbean,Americas,,,,No,No,No,,,Kph,,,,1963,9.0,25.0,1963,9.0,25.0,,,,,,,,,,2600.0,25869.0,10.05081019,,2003-07-01,2023-09-25
1970-0120-DMA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,DMA,Dominica,Latin America and the Caribbean,Americas,,,,No,No,No,,,Kph,,,,1970,8.0,20.0,1970,8.0,20.0,,,,,,,,,,,,12.74196873,,2003-07-01,2023-09-25
1979-0069-DMA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,David & Federick,DMA,Dominica,Latin America and the Caribbean,Americas,Countrywide,,,Yes,No,No,,,Kph,,,,1979,8.0,29.0,1979,9.0,6.0,40.0,2100.0,70000.0,,72100.0,,,,,44650.0,187460.0,23.81837925,,2005-12-09,2023-09-25
1980-0230-DMA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Allen,DMA,Dominica,Latin America and the Caribbean,Americas,,,,No,No,No,,270.0,Kph,,,,1980,8.0,4.0,1980,8.0,4.0,,,,,,,,,,,,27.0455806,,2003-07-01,2023-09-25
1984-0092-DMA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Klaus,DMA,Dominica,Latin America and the Caribbean,Americas,,,,No,No,No,,,Kph,,,,1984,10.0,9.0,1984,10.0,9.0,2.0,,10000.0,,10000.0,,,,,2000.0,5866.0,34.09345589,,2003-07-01,2023-09-25
1989-0115-DMA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hugo,DMA,Dominica,Latin America and the Caribbean,Americas,,,,Yes,No,No,,,Kph,,,,1989,9.0,17.0,1989,9.0,17.0,,,710.0,,710.0,,,,,20000.0,49159.0,40.68459958,,2005-01-27,2023-09-25
1995-0208-DMA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Marilyn,DMA,Dominica,Latin America and the Caribbean,Americas,,,,No,No,No,,,Kph,,,,1995,9.0,14.0,1995,9.0,19.0,,,,,,,,,,175000.0,349925.0,50.01065676,,2007-05-06,2023-09-25
1995-0211-DMA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Luis,DMA,Dominica,Latin America and the Caribbean,Americas,,,,No,Yes,No,,220.0,Kph,,,,1995,9.0,3.0,1995,9.0,7.0,2.0,1.0,,5000.0,5001.0,65000.0,129972.0,,,20000.0,39991.0,50.01065676,,2007-08-24,2023-09-25
1998-0279-DMA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Cessna 402C,DMA,Dominica,Latin America and the Caribbean,Americas,Between St Maarten & Dominica,,,No,No,No,,,,,,,1998,8.0,25.0,1998,8.0,25.0,11.0,,,,,,,,,,,53.49768079,,2003-07-01,2023-09-25
1999-0615-DMA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Lenny,DMA,Dominica,Latin America and the Caribbean,Americas,,,,No,No,No,,215.0,Kph,,,,1999,11.0,17.0,1999,11.0,19.0,,,400.0,315.0,715.0,,,,,,,54.66822084,,2005-12-09,2023-09-25
2004-0582-DMA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000d8w3,,DMA,Dominica,Latin America and the Caribbean,Americas,"St. Andrew, St. John, St. Joseph, St. Peter provinces",,,Yes,No,No,,6.3,Moment Magnitude,15.679,-61.706,,2004,11.0,21.0,2004,11.0,21.0,,,100.0,,100.0,,,,,,,61.98958593,"[{""adm1_code"":1098,""adm1_name"":""St. Andrew""},{""adm1_code"":1101,""adm1_name"":""St. John""},{""adm1_code"":1102,""adm1_name"":""St. Joseph""},{""adm1_code"":1107,""adm1_name"":""St. Peter""}]",2005-02-03,2023-09-25
2007-0360-DMA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2007-000135,Dean,DMA,Dominica,Latin America and the Caribbean,Americas,"St. Andrew, St. David, St. George, St. John, St. Joseph, St. Luke, St. Mark, St. Patrick, St. Paul, St. Peter provinces",,Flood,Yes,No,No,,,Kph,,,,2007,8.0,21.0,2007,8.0,24.0,2.0,30.0,7500.0,,7530.0,,,10000.0,14696.0,20000.0,29391.0,68.04767383,"[{""adm1_code"":1098,""adm1_name"":""St. Andrew""},{""adm1_code"":1099,""adm1_name"":""St. David""},{""adm1_code"":1100,""adm1_name"":""St. George""},{""adm1_code"":1101,""adm1_name"":""St. John""},{""adm1_code"":1102,""adm1_name"":""St. Joseph""},{""adm1_code"":1103,""adm1_name"":""St. Luke""},{""adm1_code"":1104,""adm1_name"":""St. Mark""},{""adm1_code"":1105,""adm1_name"":""St. Patrick""},{""adm1_code"":1106,""adm1_name"":""St. Paul""},{""adm1_code"":1107,""adm1_name"":""St. Peter""}]",2008-08-04,2023-09-25
2011-0432-DMA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2011-000152,Tropical storm Orphelia,DMA,Dominica,Latin America and the Caribbean,Americas,"Canefield, Massacre, Mahaut, Cochrane, Campbell villages (St. Paul province), Coulibistrie village (St. Joseph province)",,Flood,No,No,No,,,Kph,,,,2011,9.0,25.0,2011,9.0,29.0,,,144.0,96.0,240.0,,,,,,,73.82275086,"[{""adm1_code"":1102,""adm1_name"":""St. Joseph""},{""adm1_code"":1106,""adm1_name"":""St. Paul""}]",2011-11-07,2023-09-25
2015-0375-DMA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2015-000119,Hurricane Erika,DMA,Dominica,Latin America and the Caribbean,Americas,"Petite Savanne, Pichelin villages (St. Patrick province), Good Hope, Petite Soufriere villages (St. David province), Bath Estate village (St. George province), Dubique village (St. Andrew province), Campbell village (St. Paul province), Coulibistrie village (St. Joseph province)",,"Flood|Slide (land, mud, snow, rock)",Yes,No,Yes,,,Kph,,,,2015,8.0,27.0,2015,8.0,27.0,30.0,20.0,28000.0,574.0,28594.0,,,,,482810.0,620686.0,77.78656766,"[{""adm1_code"":1098,""adm1_name"":""St. Andrew""},{""adm1_code"":1099,""adm1_name"":""St. David""},{""adm1_code"":1100,""adm1_name"":""St. George""},{""adm1_code"":1102,""adm1_name"":""St. Joseph""},{""adm1_code"":1105,""adm1_name"":""St. Patrick""},{""adm1_code"":1106,""adm1_name"":""St. Paul""}]",2015-08-28,2023-09-25
2017-0383-DMA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Maria',DMA,Dominica,Latin America and the Caribbean,Americas,All island,,"Flood|Slide (land, mud, snow, rock)",Yes,No,No,,260.0,Kph,,,,2017,9.0,18.0,2017,9.0,19.0,64.0,100.0,71293.0,,71393.0,,,19300.0,23991.0,1456000.0,1809915.0,80.44577926,"[{""adm1_code"":1098,""adm1_name"":""St. Andrew""},{""adm1_code"":1099,""adm1_name"":""St. David""},{""adm1_code"":1100,""adm1_name"":""St. George""},{""adm1_code"":1101,""adm1_name"":""St. John""},{""adm1_code"":1102,""adm1_name"":""St. Joseph""},{""adm1_code"":1103,""adm1_name"":""St. Luke""},{""adm1_code"":1104,""adm1_name"":""St. Mark""},{""adm1_code"":1105,""adm1_name"":""St. Patrick""},{""adm1_code"":1106,""adm1_name"":""St. Paul""},{""adm1_code"":1107,""adm1_name"":""St. Peter""}]",2017-09-19,2023-09-25
