DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1960-0057-PRI,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,PRI,Puerto Rico,Latin America and the Caribbean,Americas,,,,No,No,No,,,Kph,,,,1960,9.0,,1960,9.0,,,,,,,,,,,,,9.706215691,,2003-07-01,2023-09-25
1970-0123-PRI,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PRI,Puerto Rico,Latin America and the Caribbean,Americas,,,,No,No,No,,,Km2,,,,1970,10.0,,1970,10.0,,60.0,,,,,,,,,,,12.74196873,,2003-07-01,2023-09-25
1975-0142-PRI,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,PRI,Puerto Rico,Latin America and the Caribbean,Americas,,,,No,No,No,,,Kph,,,,1975,9.0,,1975,9.0,,26.0,,,,,,,,,,,17.66208582,,2003-07-01,2023-09-25
1979-0280-PRI,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,PRI,Puerto Rico,Latin America and the Caribbean,Americas,,,,No,No,No,,,Kph,,,,1979,8.0,,1979,8.0,,3.0,,4500.0,,4500.0,,,,,,,23.81837925,,2003-07-01,2023-09-25
1981-0174-PRI,Yes,tec-ind-che-che,Technological,Industrial accident,Chemical spill,Chemical spill,,,PRI,Puerto Rico,Latin America and the Caribbean,Americas,San Juan,,,No,No,No,,,m3,,,,1981,,,1981,,,,200.0,2000.0,,2200.0,,,,,,,29.84066199,,2003-07-01,2023-09-25
1981-0302-PRI,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,PRI,Puerto Rico,Latin America and the Caribbean,Americas,,,,No,No,No,,,,,,,1981,,,1981,,,26.0,,,,,,,,,,,29.84066199,,2003-07-01,2023-09-25
1985-0345-PRI,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PRI,Puerto Rico,Latin America and the Caribbean,Americas,,,,No,No,No,,,Km2,,,,1985,10.0,7.0,1985,10.0,7.0,500.0,,,,,,,,,,,35.30228249,,2003-07-01,2023-09-25
1985-0354-PRI,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,PRI,Puerto Rico,Latin America and the Caribbean,Americas,,,,No,No,No,,,,,,,1985,10.0,,1985,10.0,,100.0,,,,,,,,,,,35.30228249,,2003-07-01,2023-09-25
1986-0302-PRI,Yes,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,"Hotel ""Dupond Plaza""",PRI,Puerto Rico,Latin America and the Caribbean,Americas,San Juan,,,No,No,No,,,,,,,1986,12.0,31.0,1986,12.0,31.0,95.0,,,,,,,,,,,35.97234376,,2003-07-01,2023-09-25
1989-0115-PRI,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hugo,PRI,Puerto Rico,Latin America and the Caribbean,Americas,,,,No,No,No,,,Kph,,,,1989,9.0,17.0,1989,9.0,17.0,,,,,,,,,,,,40.68459958,,2005-01-27,2023-09-25
