Country Code,Indicator Name,2017,2018,2019,2020
PHL,ARI treatment (% of children under 5 taken to a health provider),66.0,,,
PHL,Access to clean fuels and technologies for cooking (% of population),47.8,49.9,52.3,54.6
PHL,"Access to clean fuels and technologies for cooking, rural (% of rural population)",27.4,29.5,31.9,34.2
PHL,"Access to clean fuels and technologies for cooking, urban (% of urban population)",69.0,71.1,73.4,75.4
PHL,Access to electricity (% of population),93.0,94.2,95.3,96.4
PHL,"Access to electricity, rural (% of rural population)",90.0,91.3,93.0,94.7
PHL,"Access to electricity, urban (% of urban population)",96.4,97.4,97.8,98.2
PHL,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),34.5,,,
PHL,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",38.85,,,
PHL,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",30.02,,,
PHL,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",38.83,,,
PHL,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",18.03,,,
PHL,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",18.0,,,
PHL,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",45.36,,,
PHL,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",41.35,,,
PHL,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",23.52,,,
PHL,Adequacy of social insurance programs (% of total welfare of beneficiary households),,21.4531603883169,,
PHL,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),,16.9409583154979,,
PHL,Adequacy of social safety net programs (% of total welfare of beneficiary households),,9.19145442569177,,
PHL,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),,,,
PHL,"Adjusted net enrollment rate, primary (% of primary school age children)",95.02535,,,
PHL,"Adjusted net enrollment rate, primary, female (% of primary school age children)",95.18792,,,
PHL,"Adjusted net enrollment rate, primary, male (% of primary school age children)",94.8704,,,
PHL,Adjusted net national income (annual % growth),6.448506954757562,4.674191184017957,3.9621082441949222,-11.144281809613105
PHL,Adjusted net national income (constant 2015 US$),352974072444.96594,369472755421.0577,384111665923.64954,341305179409.51843
PHL,Adjusted net national income (current US$),333702122642.386,350371847985.215,375755437994.094,350838234571.58
PHL,Adjusted net national income per capita (annual % growth),4.590334111803273,2.909515032191095,2.2555070370591466,-12.57794631869254
PHL,Adjusted net national income per capita (constant 2015 US$),3306.904904397767,3403.119799691485,3479.8774062530792,3042.180294138257
PHL,Adjusted net national income per capita (current US$),3126.351967809497,3227.1861879887433,3404.1737727702543,3127.1519684829914
PHL,"Adjusted net savings, excluding particulate emission damage (% of GNI)",23.9286457951043,22.2619003691315,19.9159312935531,13.6207770128426
PHL,"Adjusted net savings, excluding particulate emission damage (current US$)",87272279905.1826,85444993448.44,82561921761.4964,53007400158.177
PHL,"Adjusted net savings, including particulate emission damage (% of GNI)",23.3069065622023,21.6589314859067,19.3197761250478,12.9361499491434
PHL,"Adjusted net savings, including particulate emission damage (current US$)",85004679773.2539,83130695413.5698,80090547681.4011,50343066053.7127
PHL,Adjusted savings: carbon dioxide damage (% of GNI),1.36959797882588,1.41447534301083,1.43047637226533,1.44045236723713
PHL,Adjusted savings: carbon dioxide damage (current US$),4995181891.57699,5428999070.72288,5930070584.59125,5605747378.94463
PHL,Adjusted savings: consumption of fixed capital (% of GNI),8.13283535984195,8.27840048042466,8.96529299995707,9.45734892678617
PHL,Adjusted savings: consumption of fixed capital (current US$),29661982964.8743,31773921501.9694,37165815061.3802,36804763672.806
PHL,Adjusted savings: education expenditure (% of GNI),1.84,1.84,1.84,1.84
PHL,Adjusted savings: education expenditure (current US$),6710826697.02898,7062235718.34551,7627759596.1746,7160649954.04333
PHL,Adjusted savings: energy depletion (% of GNI),0.130523087003029,0.183688122349183,0.152600780502982,0.10987413609413
PHL,Adjusted savings: energy depletion (current US$),476042291.760088,705026531.896858,632609819.492039,427592514.985317
PHL,Adjusted savings: gross savings (% of GNI),31.9625259760282,30.5502411219153,28.8651129066244,23.0698666190504
PHL,Adjusted savings: mineral depletion (% of GNI),0.240923755253187,0.251776806999147,0.24081146034592,0.281414176090405
PHL,Adjusted savings: mineral depletion (current US$),878694330.816068,966362586.652367,998289091.04479,1095167612.54831
PHL,Adjusted savings: natural resources depletion (% of GNI),0.371446842256216,0.43546492934833,0.393412240848902,0.3912883121845349
PHL,Adjusted savings: net forest depletion (% of GNI),0.0,0.0,0.0,0.0
PHL,Adjusted savings: net forest depletion (current US$),0.0,0.0,0.0,0.0
PHL,Adjusted savings: net national savings (% of GNI),23.8296906161864,22.2718406414907,19.8998199066673,13.6125176922642
PHL,Adjusted savings: net national savings (current US$),86911371722.3067,85483145919.3666,82495131660.4498,52975257710.612
PHL,Adjusted savings: particulate emission damage (% of GNI),0.62173923290195,0.60296888322481,0.596155168505288,0.684627063699178
PHL,Adjusted savings: particulate emission damage (current US$),2267600131.92865,2314298034.87019,2471374080.09527,2664334104.46431
PHL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",50.202,50.112,49.619,49.156
PHL,Adolescents out of school (% of lower secondary school age),,12.6510000228882,13.2530002593994,12.7620000839233
PHL,"Adolescents out of school, female (% of female lower secondary school age)",,9.76700019836426,9.89999961853027,9.70899963378906
PHL,"Adolescents out of school, male (% of male lower secondary school age)",,15.3549995422363,16.3889999389648,15.6099996566772
PHL,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,13000.0,15000.0,16000.0,18000.0
PHL,Adults (ages 15-49) newly infected with HIV,13000.0,14000.0,16000.0,18000.0
PHL,Age dependency ratio (% of working-age population),58.080267813122624,57.56584529140836,57.09898946149284,56.649857706646515
PHL,"Age dependency ratio, old (% of working-age population)",7.618967292149444,7.777946837988066,7.968902767620549,8.180549040752428
PHL,"Age dependency ratio, young (% of working-age population)",50.46130052097318,49.7878984534203,49.130086693872286,48.46930866589408
PHL,Agricultural irrigated land (% of total agricultural land),,,,
PHL,Agricultural land (% of land area),42.22423449709897,42.301371700707655,42.378508904316334,42.45564610792501
PHL,Agricultural land (sq. km),125900.0,126130.0,126360.0,126590.0
PHL,Agricultural methane emissions (% of total),,,,
PHL,Agricultural methane emissions (thousand metric tons of CO2 equivalent),50681.7625,50626.3725,49373.715,49957.0075
PHL,Agricultural nitrous oxide emissions (% of total),,,,
PHL,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),11473.5662,10782.683,11199.3168,11478.5726
PHL,Agricultural raw materials exports (% of merchandise exports),0.8989138548788667,0.9412549329679912,1.126253009525528,1.147569419521537
PHL,Agricultural raw materials imports (% of merchandise imports),0.5259047416996178,0.6634644350796496,0.6776980483483399,0.6026371474292918
PHL,"Agriculture, forestry, and fishing, value added (% of GDP)",10.182954131533895,9.650140358258732,8.820323747169672,10.185311031761549
PHL,"Agriculture, forestry, and fishing, value added (annual % growth)",4.249144740046347,1.11765356616867,1.204950182922289,-0.1942188638603283
PHL,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",34791903563.65133,35180756514.56844,35604667104.54418,35535516124.61248
PHL,"Agriculture, forestry, and fishing, value added (constant LCU)",1743134294000.0,1762616496600.0,1783855147300.0,1780390564100.0
PHL,"Agriculture, forestry, and fishing, value added (current LCU)",1685956185500.0,1762616496600.0,1721538720300.0,1828423603200.0
PHL,"Agriculture, forestry, and fishing, value added (current US$)",33449042759.145554,33470729841.555763,33237044033.102077,36845479325.20524
PHL,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",3265.64724504849,3385.513968189252,3533.5008480860074,3469.5378661474206
PHL,"Air transport, freight (million ton-km)",753.351739,835.904513,926.888641,360.409324
PHL,"Air transport, passengers carried",39341995.0,43080118.0,47776892.0,10613531.0
PHL,"Air transport, registered carrier departures worldwide",273159.0,292450.0,320569.0,88024.0
PHL,Alternative and nuclear energy (% of total energy use),,,,
PHL,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",74.0392874138,73.7521331696,78.9950838572,78.9950838572
PHL,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",8.6218869396,8.6814718692,9.4976257162,9.4976257162
PHL,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",17.3388256488,17.5663949602,11.5072904185,11.5072904185
PHL,"Annual freshwater withdrawals, total (% of internal resources)",19.163106471816285,19.2396264697286,17.92633549895616,17.92633549895616
PHL,"Annual freshwater withdrawals, total (billion cubic meters)",91.79128,92.15781079,85.86714704,85.86714704
PHL,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",,,,
PHL,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",,,,
PHL,Antiretroviral therapy coverage (% of people living with HIV),32.0,37.0,41.0,39.0
PHL,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),16.0,18.0,22.0,21.0
PHL,Aquaculture production (metric tons),2237787.0,2304360.74,2358238.38,2322831.42
PHL,Arable land (% of land area),18.74769426837039,18.74769426837039,18.74769426837039,18.74769426837039
PHL,Arable land (hectares per person),0.0523709809265543,0.0514880715862146,0.0506428635906656,0.0498257538126261
PHL,Arable land (hectares),5590000.0,5590000.0,5590000.0,5590000.0
PHL,Armed forces personnel (% of total labor force),0.356022839539971,0.3501112056841347,0.343743147314031,0.3701164751832542
PHL,"Armed forces personnel, total",153000.0,153350.0,155000.0,157000.0
PHL,Arms exports (SIPRI trend indicator values),,,,
PHL,Arms imports (SIPRI trend indicator values),278000000.0,17000000.0,185000000.0,348000000.0
PHL,"Automated teller machines (ATMs) (per 100,000 adults)",28.14,28.9,28.98,29.72
PHL,Average precipitation in depth (mm per year),2348.0,2348.0,2348.0,2348.0
PHL,Average time to clear exports through customs (days),,,,
PHL,Average transaction cost of sending remittances from a specific country (%),,,,
PHL,Average transaction cost of sending remittances to a specific country (%),4.55689307692308,2.94951,2.76525428571429,2.697995
PHL,"Average working hours of children, study and work, ages 7-14 (hours per week)",,,,
PHL,"Average working hours of children, study and work, female, ages 7-14 (hours per week)",,,,
PHL,"Average working hours of children, study and work, male, ages 7-14 (hours per week)",,,,
PHL,"Average working hours of children, working only, ages 7-14 (hours per week)",,,,
PHL,"Average working hours of children, working only, female, ages 7-14 (hours per week)",,,,
