DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2017-0028-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2017-000010,,PHL,Philippines,South-eastern Asia,Asia,"Western Visayas, Central Visayas, Eastern Visayas, Zamboanga (Samboanga del Norte), Northern Mindanao (Bukidnon, Camiguin, Misamis Occidental, Misamis oriental, Lanao del Norte) Davao (Compostela, Davao del Norte, Davao del Sur, Davao Oriental), Caragan (Agusan del Norte, Agusan del Sur, Surigao del Norte), Autonomous region of Muslim Mindanao (Lanao del Sur, Maguindanao), Soccskargen (Saranggani)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2017,1.0,16.0,2017,1.0,31.0,9.0,,1500000.0,,1500000.0,,,,,8100.0,10069.0,80.44577926,"[{""adm1_code"":2362,""adm1_name"":""Region VI (Western Visayas)""},{""adm1_code"":2363,""adm1_name"":""Region VII (Central Visayas)""},{""adm1_code"":2364,""adm1_name"":""Region VIII (Eastern Visayas)""},{""adm2_code"":24275,""adm2_name"":""Agusan Del Norte""},{""adm2_code"":24276,""adm2_name"":""Agusan Del Sur""},{""adm2_code"":67169,""adm2_name"":""Surigao Del Norte""},{""adm2_code"":24200,""adm2_name"":""Lanao Del Sur""},{""adm2_code"":67174,""adm2_name"":""Maguindanao""},{""adm2_code"":24238,""adm2_name"":""Zamboanga Del Norte""},{""adm2_code"":24262,""adm2_name"":""Bukidnon""},{""adm2_code"":24263,""adm2_name"":""Camiguin""},{""adm2_code"":24264,""adm2_name"":""Misamis Occidental""},{""adm2_code"":24265,""adm2_name"":""Misamis Oriental""},{""adm2_code"":24272,""adm2_name"":""Lanao Del Norte""},{""adm2_code"":24266,""adm2_name"":""Compostela""},{""adm2_code"":24267,""adm2_name"":""Davao del Norte""},{""adm2_code"":24268,""adm2_name"":""Davao Del Sur""},{""adm2_code"":24269,""adm2_name"":""Davao Oriental""},{""adm2_code"":24270,""adm2_name"":""Saranggani""}]",2017-02-06,2023-09-25
2017-0226-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4440|GLIDE:FL-2017-000010,,PHL,Philippines,South-eastern Asia,Asia,"Mindanao (Agusan del Sur, Compostela Valley, Agusan del Norte, Davao Oriental, Lanao del Sur and Maguindanao)",Heavy rains,,No,No,No,,30389.11,Km2,7.59,124.062,,2017,2.0,1.0,2017,2.0,7.0,13.0,,334000.0,,334000.0,,,,,,,80.44577926,"[{""adm2_code"":24275,""adm2_name"":""Agusan Del Norte""},{""adm2_code"":24276,""adm2_name"":""Agusan Del Sur""},{""adm2_code"":24200,""adm2_name"":""Lanao Del Sur""},{""adm2_code"":67174,""adm2_name"":""Maguindanao""},{""adm2_code"":24266,""adm2_name"":""Compostela""},{""adm2_code"":24269,""adm2_name"":""Davao Oriental""}]",2017-06-28,2023-09-25
2017-0432-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Lan'/'Paolo',PHL,Philippines,South-eastern Asia,Asia,"Mimaropa (Puerto Princesa City, Palawan), Western Visayas (Negros occidental), Central Visayas (Negros oriental, Siquijor), Zamboanga peninsula (Zamboanga city, Zamboanga del Norte, Zamboanga del Sur, Zamboanga del Sibugay), Caraga (Agusan del Norte), the Autonomous Region of Muslim Mindanao (Maguindanao), Soccksargen (Sultan Kudarat) regions",,Flood|Storm,No,No,No,,250.0,Kph,,,,2017,10.0,18.0,2017,10.0,20.0,9.0,,163349.0,,163349.0,,,,,3400.0,4226.0,80.44577926,"[{""adm2_code"":24251,""adm2_name"":""Negros Occidental""},{""adm2_code"":24254,""adm2_name"":""Negros Oriental""},{""adm2_code"":24255,""adm2_name"":""Siquijor""},{""adm2_code"":24275,""adm2_name"":""Agusan Del Norte""},{""adm2_code"":67174,""adm2_name"":""Maguindanao""},{""adm2_code"":24238,""adm2_name"":""Zamboanga Del Norte""},{""adm2_code"":67163,""adm2_name"":""Zamboanga Sibugay""},{""adm2_code"":67164,""adm2_name"":""Zamboanga Del Sur""},{""adm2_code"":24274,""adm2_name"":""Sultan Kudarat""},{""adm2_code"":24233,""adm2_name"":""Palawan""}]",2017-11-21,2023-09-25
2017-0524-PHL,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),GLIDE:TC-2017-000182,Storm 'Tembin' (Vinta),PHL,Philippines,South-eastern Asia,Asia,"Valencia, (Mindanao),Salvador, Sapad, Dalama village (Tubod) (Lanao del Norte), Piagapo, Sibuco,Tugaya, Marawi (Lanao del Sud), Zamboanga del Norte, Zamboanga Sibugay, Cagayan de Oro (Misamis Oriental)",,"Flood|Slide (land, mud, snow, rock)",No,No,Yes,,125.0,Kph,,,Salog,2017,12.0,21.0,2017,12.0,26.0,58.0,,871757.0,52000.0,923757.0,,,,,50000.0,62154.0,80.44577926,,2017-12-22,2023-09-25
2017-0525-PHL,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),GLIDE:TC-2017-000180,Tropical storm 'Kai-Tak' (Urduja),PHL,Philippines,South-eastern Asia,Asia,"Bicol (Albay,Camarines Norte,Camarines Sur, Masbate, Sorsogon), Western Visayas (Aklan, Capiz, Iloilo), Central Visayas (Cebu), Eastern Visayas (Biliran, Leyte, Samar, Eastern Samar, Northern Samar,Southern Leyte), Caraga (Dinagat Island, Surigao del Norte), Southern Tagalog (Marinduque, Oriental Mindoro, Palawan, Romblon)",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,2017,12.0,16.0,2017,12.0,18.0,91.0,78.0,1861250.0,,1861328.0,,,,,71901.0,89378.0,80.44577926,"[{""adm2_code"":24240,""adm2_name"":""Albay""},{""adm2_code"":24241,""adm2_name"":""Camarines Norte""},{""adm2_code"":24242,""adm2_name"":""Camarines Sur""},{""adm2_code"":24244,""adm2_name"":""Masbate""},{""adm2_code"":24245,""adm2_name"":""Sorsogon""},{""adm2_code"":24246,""adm2_name"":""Aklan""},{""adm2_code"":24248,""adm2_name"":""Capiz""},{""adm2_code"":24250,""adm2_name"":""Iloilo""},{""adm2_code"":24253,""adm2_name"":""Cebu""},{""adm2_code"":24256,""adm2_name"":""Biliran""},{""adm2_code"":24257,""adm2_name"":""Eastern Samar""},{""adm2_code"":24258,""adm2_name"":""Leyte""},{""adm2_code"":24259,""adm2_name"":""Northern Samar""},{""adm2_code"":24260,""adm2_name"":""Southern Leyte""},{""adm2_code"":24261,""adm2_name"":""Samar""},{""adm2_code"":67168,""adm2_name"":""Dinagat""},{""adm2_code"":67169,""adm2_name"":""Surigao Del Norte""},{""adm2_code"":24230,""adm2_name"":""Marinduque""},{""adm2_code"":24232,""adm2_name"":""Mindoro Oriental""},{""adm2_code"":24233,""adm2_name"":""Palawan""},{""adm2_code"":24236,""adm2_name"":""Romblon""}]",2017-12-22,2023-09-25
2018-0044-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Basyang' (Sanba),PHL,Philippines,South-eastern Asia,Asia,"Palawan (Mimaropa); Capiz, Iloilo, Negros occidental (Region IV - Western Visayas); Bohol, Cebu, Negros Oriental, Siquijor (Region VII - Central Visayas); Biliran, Eastern Samar, Leyte, Samar, Southern Leyte (Region VII - Eastern Visayas); Agusan del Norte, Dinagat Isl., Surigao del Norte, Surigao del Sur (REgion XIII - Caraga)",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,75.0,Kph,,,,2018,2.0,12.0,2018,2.0,16.0,,,254859.0,,254859.0,,,,,3070.0,3725.0,82.41066796,"[{""adm2_code"":24248,""adm2_name"":""Capiz""},{""adm2_code"":24250,""adm2_name"":""Iloilo""},{""adm2_code"":24251,""adm2_name"":""Negros Occidental""},{""adm2_code"":24252,""adm2_name"":""Bohol""},{""adm2_code"":24253,""adm2_name"":""Cebu""},{""adm2_code"":24254,""adm2_name"":""Negros Oriental""},{""adm2_code"":24255,""adm2_name"":""Siquijor""},{""adm2_code"":24256,""adm2_name"":""Biliran""},{""adm2_code"":24257,""adm2_name"":""Eastern Samar""},{""adm2_code"":24258,""adm2_name"":""Leyte""},{""adm2_code"":24260,""adm2_name"":""Southern Leyte""},{""adm2_code"":24261,""adm2_name"":""Samar""},{""adm2_code"":24275,""adm2_name"":""Agusan Del Norte""},{""adm2_code"":24278,""adm2_name"":""Surigao Del Sur""},{""adm2_code"":67168,""adm2_name"":""Dinagat""},{""adm2_code"":67169,""adm2_name"":""Surigao Del Norte""},{""adm2_code"":24233,""adm2_name"":""Palawan""}]",2018-02-20,2023-09-25
2018-0051-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,"Bicol, Dvao, Eastern Visayas, NOrthern Mindanao, Western Visayas",Heavy rains,,No,No,No,,,Km2,,,,2018,1.0,13.0,2018,1.0,17.0,11.0,,180000.0,,180000.0,,,,,,,82.41066796,"[{""adm2_code"":24258,""adm2_name"":""Leyte""},{""adm2_code"":24259,""adm2_name"":""Northern Samar""},{""adm2_code"":24266,""adm2_name"":""Compostela""}]",2018-02-27,2023-09-25
2018-0227-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2018-000113,Tyhoon 'Son Tinh',PHL,Philippines,South-eastern Asia,Asia,,,Flood,No,No,No,,,Kph,,,,2018,7.0,17.0,2018,7.0,31.0,16.0,,2231101.0,,2231101.0,,,,,88000.0,106782.0,82.41066796,,2018-08-09,2023-09-25
2018-0341-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2018-000149,Typhoon Mangkut (Ompong),PHL,Philippines,South-eastern Asia,Asia,"Apayao, Benguet, Cagayan, Kalinga, Isabela, Abra, Ilocos Norte and Ilocos Sur",,"Slide (land, mud, snow, rock)",Yes,No,No,,240.0,Kph,,,,2018,9.0,16.0,2018,9.0,16.0,84.0,138.0,3800000.0,,3800138.0,,,,,32033.0,38870.0,82.41066796,"[{""adm2_code"":24204,""adm2_name"":""Abra""},{""adm2_code"":24205,""adm2_name"":""Apayao""},{""adm2_code"":24206,""adm2_name"":""Benguet""},{""adm2_code"":24208,""adm2_name"":""Kalinga""},{""adm2_code"":24211,""adm2_name"":""Ilocos Norte""},{""adm2_code"":24212,""adm2_name"":""Ilocos Sur""},{""adm2_code"":24216,""adm2_name"":""Cagayan""}]",2018-09-18,2023-09-25
2018-0347-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical Storm Yagi,PHL,Philippines,South-eastern Asia,Asia,"I, III, CAR, NCR, and CALABARZON",,,No,No,No,,,Kph,,,,2018,9.0,19.0,2018,9.0,19.0,5.0,,1709511.0,,1709511.0,,,,,19000.0,23055.0,82.41066796,"[{""adm1_code"":2354,""adm1_name"":""Cordillera Administrative region (CAR)""},{""adm1_code"":2356,""adm1_name"":""Region I (Ilocos region)""},{""adm1_code"":67165,""adm1_name"":""Region III (Central Luzon)""},{""adm1_code"":67166,""adm1_name"":""Region IV-A (Calabarzon)""}]",2018-09-19,2023-09-25
