Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
DMA,Fertilizer consumption (kilograms per hectare of arable land),152.043333333333,88.6883333333333,41.3816666666667,65.7233333333333,802.26,72.1233333333333,73.09,73.09,73.09
DMA,Agricultural land (sq. km),250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
DMA,Agricultural land (% of land area),33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
DMA,Arable land (hectares),6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
DMA,Arable land (hectares per person),0.0857057151427714,0.0856225472707813,0.0852236410380239,0.0847182412493117,0.084000672005376,0.0833391207722759,0.0828591946086284,0.0828591946086284,0.0828591946086284
DMA,Arable land (% of land area),8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
DMA,Land under cereal production (hectares),118.0,118.0,118.0,118.0,117.0,116.0,116.0,115.0,115.0
DMA,Permanent cropland (% of land area),22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667
DMA,Forest area (sq. km),478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7
DMA,Forest area (% of land area),63.8266666666667,63.8266666666667,63.8266666666667,63.8266666666667,63.8266666666667,63.8266666666667,63.8266666666667,63.8266666666667,63.8266666666667
DMA,Average precipitation in depth (mm per year),2083.0,2083.0,2083.0,2083.0,2083.0,2083.0,2083.0,2083.0,2083.0
DMA,Land area (sq. km),750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0
DMA,Cereal production (metric tons),188.94,188.27,189.57,190.47,191.21,190.98,191.3,191.62,191.62
DMA,Crop production index (2014-2016 = 100),99.87,101.69,99.73,100.34,100.29,100.27,100.63,100.61,100.61
DMA,Food production index (2014-2016 = 100),99.87,101.39,99.71,100.26,100.54,100.47,100.87,100.85,100.85
DMA,Livestock production index (2014-2016 = 100),99.89,99.68,99.6,99.77,101.97,101.64,102.28,102.31,102.31
DMA,Surface area (sq. km),750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0
DMA,Cereal yield (kg per hectare),1604.0,1597.7,1601.7,1609.0,1630.0,1644.5,1655.5,1666.5,1666.5
