DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1960-0012-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Karen,PHL,Philippines,South-eastern Asia,Asia,South Wet of Manilla,,,No,No,No,,,Kph,,,,1960,4.0,22.0,1960,4.0,22.0,56.0,,,,,,,,,2000.0,20605.0,9.706215691,,2003-07-01,2023-09-25
1960-0015-PHL,Yes,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,PHL,Philippines,South-eastern Asia,Asia,Nationwide,,,No,No,No,,,Moment Magnitude,,,,1960,5.0,22.0,1960,5.0,22.0,32.0,,,,,,,,,,,9.706215691,,2003-07-01,2023-09-25
1960-0019-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Lucille,PHL,Philippines,South-eastern Asia,Asia,Luzon,,,No,No,No,,,Kph,,,,1960,5.0,24.0,1960,5.0,24.0,234.0,,,,,,,,,,,9.706215691,,2003-07-01,2023-09-25
1960-0020-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Olive,PHL,Philippines,South-eastern Asia,Asia,South Luzon,,,No,No,No,,,Kph,,,,1960,6.0,23.0,1960,6.0,23.0,100.0,,50000.0,,50000.0,,,,,,,9.706215691,,2003-07-01,2023-09-25
1960-0028-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Kit,PHL,Philippines,South-eastern Asia,Asia,"Central, South Luzon",,,No,No,No,,,Kph,,,,1960,10.0,3.0,1960,10.0,3.0,150.0,,375000.0,,375000.0,,,,,,,9.706215691,,2003-07-01,2023-09-25
1960-0029-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Lola,PHL,Philippines,South-eastern Asia,Asia,Luzon,,,No,No,No,,,Kph,,,,1960,10.0,8.0,1960,10.0,8.0,58.0,,,,,,,,,30000.0,309080.0,9.706215691,,2003-07-01,2023-09-25
1960-0047-PHL,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,PHL,Philippines,South-eastern Asia,Asia,,,,No,No,No,,,,,,,1960,1.0,,1960,1.0,,40.0,,,,,,,,,,,9.706215691,,2003-07-01,2023-09-25
1960-0053-PHL,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,PHL,Philippines,South-eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1960,8.0,,1960,8.0,,33.0,,,,,,,,,,,9.706215691,,2003-07-01,2023-09-25
1961-0018-PHL,Yes,tec-ind-fir-fir,Technological,Industrial accident,Fire (Industrial),Fire (Industrial),,Commercial block,PHL,Philippines,South-eastern Asia,Asia,"Binondo, Manila",,,No,No,No,,,m3,,,,1961,5.0,19.0,1961,5.0,19.0,15.0,,,,,,,,,49505.0,504631.0,9.810138546,,2003-07-01,2023-09-25
1962-0029-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,PHL,Philippines,South-eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1962,7.0,,1962,7.0,,41.0,,,,,,,,,,,9.927744057,,2003-07-01,2023-09-25
