Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Japan,JPN,4.84092905745234,2.76464755143648,0.296205514142628,1.56062669674904,0.753826745903538,1.67533175166503,0.643391023460339,-0.402169200910933,-4.14711889947692,2.55932023865617,0.954736937781391,1.92305553064716,2.0051001767726,1.37475099920874,0.0238095237748297,4.09791791930137,-5.69323635882266,-1.22428900072828,1.48396941163492,1.37235012762038,1.80390087227372,2.1861156944216,1.53512549928013,0.0419624993125609,0.386103426145752,-0.333929957747415,-1.27033049463975,0.981228732132223,3.13387099280445,2.63099961644897,1.08338317429946,-0.459219716150798,0.900586066360461,3.52335723533228,4.92578541306383,6.66163652201594,4.64886139754491,3.29404761337059,5.15980790471274,4.41088015361535,3.63019857224671,3.27974274286728,4.26062449346863,2.817591207616,5.48404183248661,5.27194150290775,4.39033795032562,3.97498409121211,3.09157591622022,-1.22523982778432,8.03259997495039,8.413547255176,4.6989920423419,0.399050644662793,12.4778945144972,12.8824681383236,11.0821423246927,10.6385615591626,5.81970787298272,11.6767081963981,8.47364238279388,8.90897299558067,12.0435364080117,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Japan,JPN,..,100,100,100,100,100,100,100,100,100,100,..,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,Japan,JPN,..,100,100,100,100,100,100,100,100,100,100,..,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,Japan,JPN,..,100,100,100,100,100,100,100,100,100,100,..,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Japan,JPN,100,100,100,100,100,100,100,100,100,100,100,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Japan,JPN,100,100,100,100,100,100,100,100,100,100,100,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,Japan,JPN,100,100,100,100,100,100,100,100,100,100,100,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,Japan,JPN,..,..,96.65,..,..,98.24,..,..,..,98.49,..,..,..,..,96.42,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,Japan,JPN,..,..,97.02,..,..,98.06,..,..,..,98.84,..,..,..,..,96.84,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,Japan,JPN,..,..,96.24,..,..,98.46,..,..,..,98.12,..,..,..,..,95.97,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
