DisNo.,Year,ISO,Country,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1960-0016-JPN,1960,JPN,Japan,Yes,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,Eastern Asia,Asia,"Onagawa, Honshu Island",,Tsunami/Tidal wave,No,No,No,,,Moment Magnitude,,,,1960,5.0,22.0,1960,5.0,22.0,138.0,,,,,,,,,140000.0,1442375.0,9.706215691,,2011-04-27,2023-09-25
1960-0055-JPN,1960,JPN,Japan,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1960,8.0,,1960,8.0,,41.0,,,,,,,,,,,9.706215691,,2003-07-01,2023-09-25
1961-0006-JPN,1961,JPN,Japan,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Eastern Asia,Asia,Entire Nation except Hokkaido,,,No,No,No,,,Km2,,,,1961,6.0,,1961,6.0,,357.0,,1302249.0,,1302249.0,,,,,,,9.810138546,,2003-07-01,2023-09-25
1961-0011-JPN,1961,JPN,Japan,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,Eastern Asia,Asia,Honshu + other Isles,,,No,No,No,,,Kph,,,,1961,9.0,16.0,1961,9.0,16.0,202.0,,,,,,,,,,,9.810138546,,2003-07-01,2023-09-25
1961-0051-JPN,1961,JPN,Japan,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1961,10.0,,1961,10.0,,94.0,,,,,,,,,,,9.810138546,,2003-07-01,2023-09-25
1961-0061-JPN,1961,JPN,Japan,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,Eastern Asia,Asia,Honshu,,,No,No,No,,6.8,Moment Magnitude,36.0,136.7,,1961,8.0,19.0,1961,8.0,19.0,10.0,,,,,,,,,,,9.810138546,,2020-02-14,2023-09-25
1962-0016-JPN,1962,JPN,Japan,Yes,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,Eastern Asia,Asia,Near Tokyo,,,No,No,No,,,,,,,1962,5.0,3.0,1962,5.0,3.0,163.0,400.0,,,400.0,,,,,,,9.927744057,,2003-07-01,2023-09-25
1962-0028-JPN,1962,JPN,Japan,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Eastern Asia,Asia,,,,No,No,No,,,Km2,,,,1962,7.0,,1962,7.0,,71.0,,,,,,,,,,,9.927744057,,2003-07-01,2023-09-25
1963-0054-JPN,1963,JPN,Japan,Yes,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,Eastern Asia,Asia,Yokohama,,,No,No,No,,,,,,,1963,,,1963,,,162.0,120.0,,,120.0,,,,,,,10.05081019,,2003-07-01,2023-09-25
1963-0062-JPN,1963,JPN,Japan,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1963,2.0,,1963,2.0,,86.0,,,,,,,,,,,10.05081019,,2003-07-01,2023-09-25
