Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Philippines,PHL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,39.1,39.9,40.0,40.2,40.4,40.4,40.3,40.3,40.2,40.1,40.5,40.9,42.0,42.9,44.2,45.7,47.8,49.9,52.3,54.6,56.9,59.1,
Philippines,PHL,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,20.5,21.1,21.2,21.5,21.3,21.4,21.1,21.0,21.0,21.2,21.4,21.8,22.4,23.2,24.3,25.8,27.4,29.5,31.9,34.2,36.75,39.6,
Philippines,PHL,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.4,57.6,58.5,59.0,59.3,59.7,59.7,59.7,59.9,60.1,60.3,60.8,61.3,62.3,63.6,65.3,67.0,69.0,71.1,73.4,75.4,77.8,79.6,
Philippines,PHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.4,68.0185546875,69.1331176757813,70.2449569702148,71.3533935546875,71.3,71.8741709275167,74.7,75.7,76.7,76.6,87.6,79.8,80.2,82.0,83.3,84.3,85.5,87.2,87.1,87.5,89.8,89.1,92.0,93.0,94.2,95.3,96.4,97.5,94.8,
Philippines,PHL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3467057912156,51.1707123816351,52.9143161486911,54.6597121077381,56.4083199093136,54.2250582751455,56.1771339939245,61.8,63.4,65.0,63.5,84.5,69.9,70.0,73.1,74.6,76.1,78.5,81.2,80.7,81.9,84.6,83.2,87.9,90.0,91.3,93.0,94.7,96.5,91.1,
Philippines,PHL,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7,87.2900009155273,87.7485122680664,88.1943969726563,88.6244735717773,91.1,90.1387028775341,89.8,90.2,90.5,92.0,91.3,91.6,92.3,92.5,93.7,94.1,93.9,94.4,94.7,94.1,95.8,95.9,96.6,96.4,97.4,97.8,98.2,98.6,98.0,
Philippines,PHL,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.56,,,31.29,,,34.5,,,,51.37,,
Philippines,PHL,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.71,,,37.85,,,38.85,,,,47.42,,
Philippines,PHL,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,24.4,,,30.02,,,,55.59,,
Philippines,PHL,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.68,,,35.85,,,38.83,,,,55.53,,
